EmployeeNumber,Age,Gender,MaritalStatus,Education,Department,JobRole,JobLevel,BusinessTravel,OverTime,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,SalarySlab,AgeBand,TenureBand,Attrition
1,47,Female,Married,1,Research & Development,Manager,2,Travel_Rarely,No,36839,14.5,0,28,1,1,0,1,3,1,4,2,3,3,35K-60K,46+,0-3 yrs,No
2,43,Male,Married,2,Human Resources,Human Resources Representative,2,Non-Travel,No,30075,12.6,1,24,7,0,1,1,4,4,3,3,3,2,<=35K,36-45,4-7 yrs,No
3,40,Female,Single,2,Research & Development,Research Scientist,1,Travel_Rarely,No,23450,13.9,1,19,2,2,0,0,3,4,3,1,3,3,<=35K,36-45,0-3 yrs,Yes
4,46,Male,Single,4,Research & Development,Healthcare Representative,2,Travel_Rarely,No,33180,22.7,0,26,6,1,3,0,3,4,4,3,3,2,<=35K,46+,4-7 yrs,No
5,36,Male,Single,2,Sales,Sales Representative,1,Travel_Rarely,No,15107,11.8,0,18,6,1,1,1,3,2,4,2,1,4,<=35K,36-45,4-7 yrs,No
6,28,Male,Married,3,Sales,Sales Executive,2,Travel_Rarely,No,29893,14.2,0,7,1,0,1,0,3,1,4,4,3,3,<=35K,26-35,0-3 yrs,Yes
7,35,Male,Married,2,Sales,Sales Representative,3,Travel_Rarely,No,37364,13.8,0,15,1,1,1,1,3,2,4,1,4,3,35K-60K,26-35,0-3 yrs,No
8,30,Male,Married,4,Research & Development,Research Director,1,Travel_Rarely,No,19055,14.3,0,10,0,0,0,0,4,3,2,4,2,3,<=35K,26-35,0-3 yrs,No
9,30,Female,Single,4,Research & Development,Healthcare Representative,2,Travel_Frequently,No,29678,14.0,0,9,0,0,0,0,3,4,1,4,2,2,<=35K,26-35,0-3 yrs,No
10,35,Male,Married,3,Research & Development,Laboratory Technician,5,Non-Travel,No,70984,16.2,0,15,11,0,0,0,4,3,1,2,3,2,>60K,26-35,8+ yrs,No
11,29,Female,Married,3,Sales,Sales Representative,3,Travel_Frequently,No,53851,11.0,2,7,0,0,0,0,4,2,1,1,4,3,35K-60K,26-35,0-3 yrs,No
12,34,Female,Married,2,Human Resources,Human Resources Representative,4,Travel_Rarely,Yes,49998,19.0,1,14,0,0,0,0,3,2,1,4,2,2,35K-60K,26-35,0-3 yrs,Yes
13,19,Male,Married,1,Research & Development,Research Scientist,2,Travel_Rarely,Yes,26620,17.5,1,0,0,0,0,0,3,4,4,2,4,2,<=35K,18-25,0-3 yrs,Yes
14,38,Male,Single,2,Sales,Manager,3,Travel_Rarely,Yes,53221,11.0,0,18,13,2,0,0,3,2,4,1,3,2,35K-60K,36-45,8+ yrs,No
15,36,Male,Divorced,3,Sales,Manager,1,Travel_Rarely,Yes,17524,11.0,0,15,2,2,0,0,3,4,4,3,4,2,<=35K,36-45,0-3 yrs,No
16,29,Male,Married,3,Sales,Sales Executive,1,Travel_Rarely,Yes,14617,11.6,1,10,1,1,0,1,3,1,4,3,3,3,<=35K,26-35,0-3 yrs,No
17,42,Male,Single,4,Research & Development,Healthcare Representative,1,Travel_Rarely,No,17008,14.3,0,21,7,1,0,4,3,4,3,2,3,0,<=35K,36-45,4-7 yrs,Yes
18,45,Male,Single,3,Research & Development,Research Scientist,2,Travel_Rarely,No,31435,24.7,0,25,2,2,0,2,3,3,2,4,3,1,<=35K,36-45,0-3 yrs,Yes
19,22,Male,Married,4,Research & Development,Research Scientist,4,Travel_Frequently,No,47866,17.2,2,1,1,0,1,0,3,2,4,4,2,5,35K-60K,18-25,0-3 yrs,No
20,29,Male,Divorced,3,Sales,Sales Executive,2,Travel_Rarely,Yes,27205,11.0,2,11,8,0,3,4,3,4,2,4,4,2,<=35K,26-35,8+ yrs,No
21,29,Female,Married,3,Research & Development,Research Scientist,3,Non-Travel,No,57932,12.6,0,8,1,0,1,1,3,3,4,3,2,2,35K-60K,26-35,0-3 yrs,Yes
22,28,Female,Single,2,Sales,Sales Representative,3,Non-Travel,No,39725,15.0,0,7,7,7,1,0,3,4,2,4,1,4,35K-60K,26-35,4-7 yrs,No
23,44,Female,Divorced,3,Sales,Manager,2,Travel_Rarely,No,27453,16.1,3,26,4,3,2,4,3,3,4,4,3,0,<=35K,36-45,4-7 yrs,No
24,35,Male,Married,3,Research & Development,Manager,2,Non-Travel,No,25667,11.0,0,17,4,0,4,2,3,1,3,4,2,5,<=35K,26-35,4-7 yrs,No
25,34,Male,Married,4,Research & Development,Healthcare Representative,2,Travel_Rarely,No,29303,14.7,1,16,1,1,1,1,3,4,3,3,3,0,<=35K,26-35,0-3 yrs,No
26,18,Male,Married,4,Research & Development,Research Director,2,Non-Travel,No,25335,12.5,3,0,0,0,0,0,4,4,1,1,3,2,<=35K,18-25,0-3 yrs,No
27,42,Male,Single,3,Sales,Sales Executive,1,Travel_Rarely,No,18893,11.1,3,21,5,5,5,1,3,4,3,4,2,0,<=35K,36-45,4-7 yrs,No
28,25,Male,Married,1,Research & Development,Research Scientist,5,Non-Travel,Yes,76578,16.2,1,7,1,0,1,1,3,3,3,3,2,3,>60K,18-25,0-3 yrs,No
29,37,Female,Married,3,Research & Development,Research Scientist,1,Travel_Rarely,No,21188,18.1,0,19,1,1,1,1,3,2,2,4,3,5,<=35K,36-45,0-3 yrs,No
30,39,Female,Divorced,3,Sales,Sales Executive,1,Travel_Rarely,Yes,10000,18.3,0,20,3,2,3,3,3,2,4,2,4,4,<=35K,36-45,0-3 yrs,No
31,49,Male,Married,2,Research & Development,Research Scientist,4,Travel_Rarely,No,57277,17.3,2,27,9,0,2,2,3,4,4,4,3,3,35K-60K,46+,8+ yrs,No
32,24,Male,Married,4,Sales,Manager,2,Travel_Frequently,No,28194,13.4,2,3,3,3,3,3,3,4,3,2,2,2,<=35K,18-25,0-3 yrs,Yes
33,18,Male,Married,5,Sales,Sales Representative,3,Travel_Rarely,Yes,48645,17.8,1,0,0,0,0,0,3,3,2,3,4,4,35K-60K,18-25,0-3 yrs,Yes
34,38,Male,Divorced,4,Human Resources,Manager,2,Travel_Rarely,Yes,23654,16.3,1,16,4,3,1,3,3,2,4,3,2,4,<=35K,36-45,4-7 yrs,No
35,53,Male,Divorced,2,Human Resources,Human Resources Representative,2,Non-Travel,Yes,37325,15.7,1,31,1,1,1,1,3,4,2,4,3,2,35K-60K,46+,0-3 yrs,No
36,48,Male,Married,4,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,39491,12.9,1,29,6,2,3,0,3,4,1,4,2,4,35K-60K,46+,4-7 yrs,Yes
37,38,Male,Married,4,Research & Development,Laboratory Technician,2,Travel_Frequently,Yes,22089,13.4,1,17,17,0,1,4,3,4,1,3,3,4,<=35K,36-45,8+ yrs,No
38,32,Female,Married,3,Sales,Sales Representative,2,Travel_Rarely,Yes,26073,15.5,1,11,3,3,3,0,3,1,1,1,3,3,<=35K,26-35,0-3 yrs,No
39,44,Male,Married,3,Research & Development,Research Scientist,3,Non-Travel,Yes,40744,24.2,1,26,1,0,1,0,3,1,3,3,3,1,35K-60K,36-45,0-3 yrs,No
40,28,Female,Single,4,Research & Development,Healthcare Representative,2,Travel_Frequently,Yes,51059,16.3,0,10,0,0,0,0,3,2,2,2,3,6,35K-60K,26-35,0-3 yrs,No
41,41,Male,Married,3,Sales,Sales Executive,4,Travel_Rarely,No,56560,12.9,1,19,1,1,1,1,3,1,4,3,3,1,35K-60K,36-45,0-3 yrs,No
42,41,Male,Single,3,Research & Development,Laboratory Technician,1,Travel_Rarely,No,28421,12.1,1,22,5,5,1,1,3,4,3,1,2,3,<=35K,36-45,4-7 yrs,No
43,46,Male,Divorced,3,Sales,Sales Representative,2,Travel_Frequently,Yes,19866,13.4,0,25,17,2,2,3,3,3,3,3,3,1,<=35K,46+,8+ yrs,No
44,60,Male,Married,3,Research & Development,Research Director,2,Travel_Rarely,No,22082,23.3,1,40,2,0,2,2,3,4,2,4,2,5,<=35K,46+,0-3 yrs,Yes
45,40,Male,Divorced,2,Sales,Sales Executive,4,Travel_Frequently,No,54507,13.7,1,20,2,2,2,1,3,1,4,1,3,2,35K-60K,36-45,0-3 yrs,No
46,32,Female,Married,4,Research & Development,Manager,1,Travel_Rarely,No,10000,18.6,2,11,3,0,3,1,3,3,4,3,3,3,<=35K,26-35,0-3 yrs,No
47,36,Female,Married,3,Research & Development,Laboratory Technician,2,Travel_Frequently,No,27856,13.8,0,18,15,0,2,0,3,3,2,1,2,2,<=35K,36-45,8+ yrs,Yes
48,20,Male,Married,3,Research & Development,Research Scientist,4,Travel_Rarely,No,54329,16.2,1,0,0,0,0,0,3,2,3,1,3,3,35K-60K,18-25,0-3 yrs,Yes
49,30,Male,Single,1,Research & Development,Research Director,1,Travel_Frequently,No,10000,18.1,0,11,1,1,1,1,3,3,1,3,4,5,<=35K,26-35,0-3 yrs,Yes
50,33,Female,Married,3,Sales,Sales Executive,4,Non-Travel,No,69267,13.1,2,15,1,0,1,0,3,3,2,3,3,5,>60K,26-35,0-3 yrs,No
51,32,Male,Single,2,Human Resources,Manager,1,Travel_Rarely,No,24790,12.8,0,10,3,2,3,0,3,4,4,3,4,1,<=35K,26-35,0-3 yrs,No
52,38,Male,Married,1,Research & Development,Manager,3,Travel_Rarely,No,52594,21.3,1,20,9,0,4,1,3,1,2,4,3,2,35K-60K,36-45,8+ yrs,No
53,29,Male,Married,3,Human Resources,Human Resources Representative,4,Travel_Rarely,No,64191,18.8,1,8,2,0,0,2,3,4,4,4,4,2,>60K,26-35,0-3 yrs,No
